,quarter_name,year,number of quarters represented,country,intake,accepted,rejected,abandoned,withdrawn other,total,pending at the end of period
136,2021 September,2021,19,Eritrea,1219,990,NA,NA,104,1158,61
137,2021 September,2021,19,Haiti,9280,2013,4386,321,306,7026,2254
138,2021 September,2021,19,Nigeria,16300,4459,7041,188,1069,12757,3543
139,2021 September,2021,19,Other Countries,18787,10355,2962,297,891,14505,4282
140,2021 September,2021,19,Pakistan,2361,1071,604,20,104,1799,562
141,2021 September,2021,19,Sudan,1676,1350,121,24,76,1571,105
142,2021 September,2021,19,Total (all countries),59776,24286,17067,1034,2951,45338,14438
143,2021 September,2021,19,Turkiye,1947,1799,41,NA,NA,1886,61
144,2021 September,2021,19,United States of America,1201,NA,718,NA,135,926,275
145,2021 December,2021,20,Angola,1486,420,381,NA,NA,865,621
146,2021 December,2021,20,Colombia,3565,1629,486,57,117,2289,1276
147,2021 December,2021,20,"Congo, Democratic Republic of the Congo",2165,479,416,36,145,1076,1089
148,2021 December,2021,20,Eritrea,1224,1004,NA,NA,105,1178,46
149,2021 December,2021,20,Haiti,9350,2210,4595,323,517,7645,1705
150,2021 December,2021,20,Nigeria,16374,4739,7279,189,1785,13992,2382
151,2021 December,2021,20,Other Countries,19066,10929,3205,308,305,15472,3594
152,2021 December,2021,20,Pakistan,2406,1184,670,21,115,1990,416
153,2021 December,2021,20,Sudan,1694,1372,123,25,77,1597,97
154,2021 December,2021,20,Total (all countries),60544,25802,18010,1059,3404,49000,11544
155,2021 December,2021,20,Turkiye,2011,1812,43,NA,NA,1901,110
156,2021 December,2021,20,United States of America,1203,24,754,57,160,995,208
157,2022 March,2022,21,Angola,1587,491,440,21,71,1023,564
158,2022 March,2022,21,Colombia,3952,1868,540,57,139,2604,1348
159,2022 March,2022,21,"Congo, Democratic Republic of the Congo",2295,515,476,36,170,1197,1098
160,2022 March,2022,21,Eritrea,1234,1011,59,NA,NA,1191,43
161,2022 March,2022,21,Haiti,10331,2354,4818,350,652,8174,2157
162,2022 March,2022,21,Nigeria,16526,5052,7473,192,2083,14800,1726
163,2022 March,2022,21,Other Countries,19692,11485,3458,338,1135,16416,3276
164,2022 March,2022,21,Pakistan,2510,1281,701,22,125,2129,381
165,2022 March,2022,21,Sudan,1737,1384,126,26,78,1614,123
166,2022 March,2022,21,Total (all countries),63291,27297,18919,1134,4763,52113,11178
167,2022 March,2022,21,Turkiye,2210,1831,43,NA,NA,1920,290
168,2022 March,2022,21,United States of America,1217,NA,NA,65,170,1045,172
169,2022 June,2022,22,Angola,1808,568,524,22,103,1217,591
170,2022 June,2022,22,Colombia,5158,2217,664,62,168,3111,2047
171,2022 June,2022,22,"Congo, Democratic Republic of the Congo",2540,604,626,38,210,1478,1062
172,2022 June,2022,22,Eritrea,1274,1026,NA,NA,117,1215,59
173,2022 June,2022,22,Haiti,14621,2534,5024,380,827,8765,5856
174,2022 June,2022,22,Nigeria,16834,5408,7716,204,2329,15657,1177
175,2022 June,2022,22,Other Countries,21674,11199,4555,456,1469,17679,3996
176,2022 June,2022,22,Pakistan,2859,1401,775,30,138,2344,515
177,2022 June,2022,22,Sudan,1825,1418,130,28,82,1658,167
178,2022 June,2022,22,Total (all countries),73397,29340,20177,1265,5498,56280,17118
179,2022 June,2022,22,Turkiye,3451,1889,48,27,33,1997,1454
180,2022 June,2022,22,Yemen,1353,1076,55,NA,NA,1159,194
181,2022 December,2022,24,Angola,1945,620,548,23,110,1301,644
182,2022 December,2022,24,Colombia,6278,2457,692,68,187,3404,2874
183,2022 December,2022,24,"Congo, Democratic Republic of the Congo",2711,646,718,40,243,1647,1064
184,2022 December,2022,24,Haiti,17568,2623,5137,410,878,9048,8520
185,2022 December,2022,24,Nigeria,16998,5563,7804,205,2355,15927,1071
186,2022 December,2022,24,Other Countries,23189,11891,4661,485,1600,18637,4552
187,2022 December,2022,24,Pakistan,3123,1465,790,32,146,2433,690
188,2022 December,2022,24,Sudan,1929,1437,131,28,84,1680,249
189,2022 December,2022,24,Total (all countries),81418,30518,20680,1352,5691,58241,23177
190,2022 December,2022,24,Turkiye,4814,1975,48,49,33,2105,2709
191,2022 December,2022,24,Venezuela,1419,704,96,NA,NA,837,582
192,2022 December,2022,24,Yemen,1444,1137,55,NA,NA,1222,222
193,2023 June,2023,26,Afghanistan,2325,909,46,NA,NA,998,1327
194,2023 June,2023,26,Angola,2562,672,594,32,122,1420,1142
195,2023 June,2023,26,Colombia,9256,2877,766,72,226,3941,5315
196,2023 June,2023,26,"Congo, Democratic Republic of the Congo",3214,713,829,43,270,1855,1359
197,2023 June,2023,26,Haiti,22721,2976,5438,489,946,9849,12872
198,2023 June,2023,26,Nigeria,17549,5777,7902,209,2387,16275,1274
199,2023 June,2023,26,Other Countries,28094,13150,4938,521,1721,20330,7764
200,2023 June,2023,26,Pakistan,4000,1681,822,33,153,2689,1311
201,2023 June,2023,26,Sudan,2217,1528,132,28,88,1776,441
202,2023 June,2023,26,Total (all countries),103738,33913,21628,1534,6038,63113,40625
203,2023 June,2023,26,Turkiye,9002,2807,54,77,48,2986,6016
204,2023 June,2023,26,Venezuela,2798,823,107,NA,NA,994,1804
205,2023 September,2023,27,Afghanistan,2738,1056,46,NA,NA,1147,1591
206,2023 September,2023,27,Angola,2791,738,617,32,124,1511,1280
207,2023 September,2023,27,Colombia,10631,3248,805,81,252,4386,6245
208,2023 September,2023,27,"Congo, Democratic Republic of the Congo",3376,745,885,44,278,1952,1424
209,2023 September,2023,27,Haiti,23810,3144,5534,497,987,10162,13648
210,2023 September,2023,27,Nigeria,17714,5888,7949,209,2412,16458,1256
211,2023 September,2023,27,Other Countries,29469,13676,5078,537,1800,21091,8378
212,2023 September,2023,27,Pakistan,4290,1819,845,34,160,2858,1432
213,2023 September,2023,27,Sudan,2286,1619,132,NA,NA,1868,418
214,2023 September,2023,27,Total (all countries),110751,36454,22067,1596,6256,66373,44378
215,2023 September,2023,27,Turkiye,10173,3646,67,98,62,3873,6300
216,2023 September,2023,27,Venezuela,3473,875,109,27,56,1067,2406
217,2024 March,2024,29,Afghanistan,2818,1845,54,NA,NA,1955,863
218,2024 March,2024,29,Angola,2841,797,660,34,131,1622,1219
219,2024 March,2024,29,Colombia,11001,4063,979,142,301,5485,5516
220,2024 March,2024,29,"Congo, Democratic Republic of the Congo",3419,829,982,45,312,2168,1251
221,2024 March,2024,29,Haiti,24013,3643,5826,577,1031,11077,12936
222,2024 March,2024,29,Nigeria,17751,6097,8088,214,2443,16842,909
223,2024 March,2024,29,Other Countries,30612,15067,5375,653,1905,23000,7612
224,2024 March,2024,29,Pakistan,4375,2289,888,38,165,3380,995
225,2024 March,2024,29,Sudan,2293,1927,142,NA,NA,2193,100
226,2024 March,2024,29,Total (all countries),113368,43071,23244,2132,6591,75038,38330
227,2024 March,2024,29,Turkiye,10663,5521,119,201,93,5934,4729
228,2024 March,2024,29,Venezuela,3582,993,131,186,72,1382,2200
