Year,Provinces/Territories,January,February,March,April,May,June,July,August,September,October,November,December,Total
2021,Alberta,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,British Columbia,15,10,15,5,20,15,20,25,20,25,20,40,230
2021,Yukon,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Northwest Territories,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Nunavut,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Total - Inland Offices,25,25,25,20,30,30,35,30,40,45,40,65,405
2022,Newfoundland and Labrador,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Prince Edward Island,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Nova Scotia,0,0,0,0,NA,0,NA,0,0,0,0,0,NA
2022,New Brunswick,0,0,0,0,0,0,0,0,0,NA,0,0,NA
2022,Quebec,NA,5,5,10,10,15,10,10,20,20,20,40,170
2022,Ontario,10,10,15,25,25,25,15,15,15,20,25,15,215
2022,Manitoba,0,0,0,NA,0,0,NA,0,0,0,0,NA,NA
2022,Saskatchewan,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Alberta,0,0,0,0,0,0,0,NA,0,0,0,NA,NA
2022,British Columbia,15,20,25,20,40,30,30,20,55,60,50,85,460
2022,Yukon,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Northwest Territories,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Nunavut,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Total - Inland Offices,30,35,50,60,75,70,65,45,90,100,95,140,850
2023,Newfoundland and Labrador,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Prince Edward Island,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Nova Scotia,0,0,0,0,0,NA,NA,NA,0,0,NA,0,5
2023,New Brunswick,0,0,0,0,0,0,0,0,0,NA,0,0,NA
2023,Quebec,15,70,5,45,20,25,10,10,25,10,15,15,270
2023,Ontario,30,35,30,35,40,25,40,30,35,60,35,35,430
2023,Manitoba,0,0,0,0,NA,NA,NA,0,5,20,20,20,75
2023,Saskatchewan,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Alberta,0,0,0,0,0,10,NA,NA,0,0,NA,NA,15
2023,British Columbia,120,80,95,30,35,30,40,40,30,30,40,105,675
2023,Yukon,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Northwest Territories,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Nunavut,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Total - Inland Offices,165,180,130,115,95,95,95,85,100,120,115,180,1470
