fy_ef,organization_id,organization,core_responsibility,program_id,program_name,planned_spending_1,actual_spending,planned_spending_2,planned_spending_3,planned_ftes_1,actual_ftes,planned_ftes_2,planned_ftes_3,planning_explanation,variance_explanation
FY 2018-19,1,Department of Agriculture and Agri-Food,Science and Innovation,BWO03,AgriInnovate,25231185,27019057.88,25231185,25231185,21,20,21,21,,
FY 2018-19,1,Department of Agriculture and Agri-Food,Science and Innovation,BWO04,Agricultural Greenhouse Gases Program,5627398,8325972.71,5618325,5618325,6,10,6,6,,"Funding was reallocated between programs to meet the demand of this program in fiscal year 2018-19.

Actual full-time equivalents were higher than planned reflecting a reallocation of full-time equivalents within Agriculture and Agri-Food Canada to better manage operational work load and demand for the program."
FY 2018-19,1,Department of Agriculture and Agri-Food,Science and Innovation,BWO05,Canadian Agricultural Adaptation Program,11065503,4578843.84,11053778,11053778,6,10,6,6,,"Actual spending was lower than planned spending due to lower than expected applications received and approval rate. The Department undertook a program realignment exercise and relaunched the Canadian Agricultural Adaptation Program as the Canadian Agricultural Strategic Priorities Program, which has new priorities and allows more flexibility to fill programming gaps under the Canadian Agricultural Partnership. 

Actual full-time equivalents were higher than planned reflecting a reallocation of full-time equivalents within Agriculture and Agri-Food Canada to better manage operational work load associated with relaunching of the program."
FY 2018-19,1,Department of Agriculture and Agri-Food,Science and Innovation,BWO06,"Federal, Provincial and Territorial Cost-shared Science, Research, Innovation and Environment",119604220,94381816.16,124565180,124565180,11,14,11,11,,"While provincial and territorial spending in the first year of the Partnership was lower than the planned spending, the majority of programs have been rolled out and continue to come online. Program uptake has varied across programs resulting in underspending in some areas and overspending in others. However, the federal-provincial-territorial funding allocations were respected.

Actual full-time equivalents were higher than planned reflecting a reallocation of full-time equivalents within Agriculture and Agri-Food Canada to better manage operational work load and demand for the program."
FY 2018-19,1,Department of Agriculture and Agri-Food,Sector Risk,BWP01,AgriStability,441659248,227271746.7,441659248,441659248,157,153,157,157,,"AgriStability is demand-driven, rather than being funded from a set allocation for each fiscal year. Although the administrative costs of the program remain relatively constant, the variance of year-to-year grant and contribution payments is directly related to participation and industry conditions. Actual spending for the AgriStability program was lower than planned due to a decrease in demand and participation in the program."
FY 2018-19,1,Department of Agriculture and Agri-Food,Sector Risk,BWP02,AgriInvest,169533572,185783723.5,152243572,152243572,131,127,131,131,,
FY 2018-19,1,Department of Agriculture and Agri-Food,Sector Risk,BWP03,AgriRecovery,124202488,1530264.37,124202488,124202488,2,3,2,2,,"AgriRecovery is demand-driven. Spending under the framework varies from year to year depending on the need for disaster response initiatives. Actual spending was less than planned spending due to a reduced requirement for program support. Only one initiative was implemented in 2018-19, namely the 2018 Canada-British Columbia Wildfires Recovery Initiative.

Actual full-time equivalents were higher than planned reflecting a reallocation of full-time equivalents within Agriculture and Agri-Food Canada to better manage operational work load and demand for the program."
FY 2018-19,1,Department of Agriculture and Agri-Food,Sector Risk,BWP04,AgriInsurance,627666415,667558396,627613665,627613665,21,19,21,21,,
FY 2018-19,1,Department of Agriculture and Agri-Food,Sector Risk,BWP05,AgriRisk,11951442,2903749.36,11951442,11951442,11,11,11,11,,Actual spending was lower than planned spending as applications received were not aligned with the program objectives. Program communications and priorities were revised and projects which align with program objectives are now being approved.
FY 2018-19,1,Department of Agriculture and Agri-Food,Sector Risk,BWP06,Loan Guarantee Programs,86710578,41352091.94,86701878,86701878,32,33,32,32,,Actual spending was lower than planned spending due to the current low interest rates and lower participation in the Agricultural Marketing Programs Act program and the Canadian Agricultural Loans Act program.
FY 2018-19,1,Department of Agriculture and Agri-Food,Sector Risk,BWP07,Farm Debt Mediation Service,1790528,2856749.72,1758553,1758553,15,14,15,15,,Farm Debt Mediation Services is a demand-driven program based on participants' individual financial situations and whether or not they seek mediation services.
FY 2018-19,1,Department of Agriculture and Agri-Food,Sector Risk,BWP08,Pest Management,12040395,10530721.79,12021212,12021212,57,58,57,57,,Actual spending was less than planned spending primarily due to a realignment among programs in response to shifting priorities.
FY 2018-19,1,Department of Agriculture and Agri-Food,Sector Risk,BWP09,Assurance Program,15422554,4466614.03,15422554,15422554,26,17,26,26,,"The timing of project approval resulted in associations not having enough time to undertake activities in the 2018-19 fiscal year. Approved project activities were shifted from year one to subsequent years. Unspent funding from 2018-19 has been requested to be carried forward to the following year.

Actual full-time equivalents were lower than planned reflecting a reallocation of full-time equivalents within Agriculture and Agri-Food Canada to better manage operational work load and demand for the program."
FY 2018-19,1,Department of Agriculture and Agri-Food,Sector Risk,BWP10,"Federal, Provincial and Territorial Cost-shared Assurance",33206679,26880872.73,33206679,33206679,4,7,4,4,,"While provincial and territorial spending in the first year of the Partnership was lower than the planned spending, the majority of programs have been rolled out and continue to come online. Program uptake has varied across programs resulting in underspending in some areas and overspending in others. However, the federal-provincial-territorial funding allocations were respected.

Actual full-time equivalents were higher than planned reflecting a reallocation of full-time equivalents within Agriculture and Agri-Food Canada to better manage operational work load and demand for the program."
FY 2018-19,1,Department of Agriculture and Agri-Food,Sector Risk,BWP11,Return of Payments,.,-25522294.45,.,.,.,0,.,.,,"The $25.5 million is related to a return of funding from statutory grant and contribution programs that have expired and are not included in the current Program Inventory, of which $25.3 million relates to the Hog Industry Loan Loss Reserve program."
FY 2018-19,1,Department of Agriculture and Agri-Food,Internal Services,ISS01,Management and Oversight Services - Department of Agriculture and Agri-Food,40241449,41578455.08,39599338,39618377,297,294,297,297,,
FY 2018-19,1,Department of Agriculture and Agri-Food,Internal Services,ISS02,Communications Services - Department of Agriculture and Agri-Food,12459984,12506256.02,12261168,12267062,97,92,97,97,,
FY 2018-19,1,Department of Agriculture and Agri-Food,Internal Services,ISS03,Legal Service - Department of Agriculture and Agri-Food,3787099,3203696.12,3726670,3728462,6,6,6,6,,Actual spending was less than planned spending primarily due to a realignment among programs.
FY 2018-19,1,Department of Agriculture and Agri-Food,Internal Services,ISS04,Human Resources Management Services - Department of Agriculture and Agri-Food,22588069,22163850.91,22227645,22238331,204,190,204,204,,
FY 2018-19,1,Department of Agriculture and Agri-Food,Internal Services,ISS05,Financial Management Services - Department of Agriculture and Agri-Food,25016689,11276872.51,24617512,24629348,192,188,192,192,,Actual spending was less than planned spending primarily due to a realignment among programs.
FY 2018-19,1,Department of Agriculture and Agri-Food,Internal Services,ISS06,Information Management Services - Department of Agriculture and Agri-Food,19635937,24010756.3,19322617,19331907,128,124,128,128,,"Actual spending was more than planned spending primarily due to amounts carried forward from 2017-18 for investment in Information Management, and a realignment among programs."
FY 2018-19,1,Department of Agriculture and Agri-Food,Internal Services,ISS07,Information Technology Management Services - Department of Agriculture and Agri-Food,21009697,43483131.84,20674458,20684397,152,171,152,152,,"Actual spending was more than planned spending primarily due to amounts carried forward from 2017-18 for investment in Information Technology, and a realignment among programs. 

Increase in full-time equivalents is primarily due to the shift from operating contractors/professional services to full-time equivalents for Information Technology support."
FY 2018-19,1,Department of Agriculture and Agri-Food,Internal Services,ISS08,Real Property Management Services - Department of Agriculture and Agri-Food,5107727,10747261.94,5026226,5028642,46,42,46,46,,Actual spending was more than planned spending primarily due to increased accommodations and security costs.
FY 2018-19,1,Department of Agriculture and Agri-Food,Internal Services,ISS09,Materiel Management Services - Department of Agriculture and Agri-Food,272059,253665.17,267718,267846,2,1,2,2,,Actual full-time equivalents were lower than planned primarily due to a realignment among programs in response to shifting priorities.
FY 2018-19,1,Department of Agriculture and Agri-Food,Internal Services,ISS0Z,Acquisition Management Services - Department of Agriculture and Agri-Food,1408060,1598280.4,1385593,1386259,16,16,16,16,,Actual spending was more than planned spending primarily due to amounts carried forward from 2017-18 and a realignment among programs.
FY 2018-19,12,Atlantic Canada Opportunities Agency,Economic Development in Atlantic Canada,BED01,Inclusive Communities,26882474,38934704.33,26785895,26785895,32,39,32,32,,
FY 2018-19,12,Atlantic Canada Opportunities Agency,Economic Development in Atlantic Canada,BED02,Diversified Communities,70434817,58179725.77,70387003,70387003,84,71,84,84,,
FY 2018-19,12,Atlantic Canada Opportunities Agency,Economic Development in Atlantic Canada,BED03,Research and Development and Commercialisation,60369924,59981940.39,42834886,42834886,38,56,38,38,,
FY 2018-19,12,Atlantic Canada Opportunities Agency,Economic Development in Atlantic Canada,BED04,Innovation Ecosystem,60369924,47434874.4,42834886,42834886,38,15,38,38,,
FY 2018-19,12,Atlantic Canada Opportunities Agency,Economic Development in Atlantic Canada,BED05,Business Growth,47309476,85160406.47,46847354,46847354,78,92,78,78,,
FY 2018-19,12,Atlantic Canada Opportunities Agency,Economic Development in Atlantic Canada,BED06,Trade and Investment,23803837,19784891.53,23935924,23859924,53,40,53,53,,
FY 2018-19,12,Atlantic Canada Opportunities Agency,Economic Development in Atlantic Canada,BED07,Policy Research and Engagement,11270588,13877883.38,10813625,10813625,68,65,68,68,,
FY 2018-19,12,Atlantic Canada Opportunities Agency,Internal Services,ISS00,Internal Services - Atlantic Canada Opportunities Agency,26917122,26243126.2,26820622,26927958,199,194,199,199,,
FY 2018-19,26,Canada Border Services Agency,Border Management,BUF01,Targeting,81791182,75763544.23,81779566,81782310,338,321,338,338,,
FY 2018-19,26,Canada Border Services Agency,Border Management,BUF02,Intelligence Collection and Analysis,75739388,89866425.79,75604744,75438003,659,575,659,659,,"Explanation of spending variance: In fiscal year 2018-19, the CBSA transitioned to a new Departmental Results Framework reporting structure as required by the Treasury Board Policy on Results. Given that 2018-19 was a transition year, the Agency has been working toward further refining its reporting mechanisms by program to ensure proper alignment of authorities and expenditures in the future. On April 1, 2019, the Agency introduced a new organizational structure to better manage and report on its programs. With this new structure in place, the Agency expects improvement in its reporting by program, including more detailed variance explanations. 

Explanation of full-time equivalent (FTE) variance: In fiscal year 2018-19, the CBSA transitioned to a new Departmental Results Framework reporting structure as required by the Treasury Board Policy on Results. Given that 2018-19 was a transition year, the Agency is working toward further refining the FTE allocation methodology for its programs."
FY 2018-19,26,Canada Border Services Agency,Border Management,BUF03,Security Screening,9538462,14350701.17,9538387,9539350,102,130,102,102,,"Explanation of spending variance: In fiscal year 2018-19, the CBSA transitioned to a new Departmental Results Framework reporting structure as required by the Treasury Board Policy on Results. Given that 2018-19 was a transition year, the Agency has been working toward further refining its reporting mechanisms by program to ensure proper alignment of authorities and expenditures in the future. On April 1, 2019, the Agency introduced a new organizational structure to better manage and report on its programs. With this new structure in place, the Agency expects improvement in its reporting by program, including more detailed variance explanations. 

Explanation of full-time equivalent (FTE) variance: In fiscal year 2018-19, the CBSA transitioned to a new Departmental Results Framework reporting structure as required by the Treasury Board Policy on Results. Given that 2018-19 was a transition year, the Agency is working toward further refining the FTE allocation methodology for its programs."
FY 2018-19,26,Canada Border Services Agency,Border Management,BUF04,Traveller Facilitation and Compliance,512555202,703249004.1,488649856,480215241,5035,4836,5035,5015,,"Explanation of spending variance: In fiscal year 2018-19, the CBSA transitioned to a new Departmental Results Framework reporting structure as required by the Treasury Board Policy on Results. Given that 2018-19 was a transition year, the Agency has been working toward further refining its reporting mechanisms by program to ensure proper alignment of authorities and expenditures in the future. On April 1, 2019, the Agency introduced a new organizational structure to better manage and report on its programs. With this new structure in place, the Agency expects improvement in its reporting by program, including more detailed variance explanations."
FY 2018-19,26,Canada Border Services Agency,Border Management,BUF05,Commercial-Trade Facilitation and Compliance,307353288,402884168,272835586,271513705,2935,3129,2903,2905,,"Explanation of spending variance: In fiscal year 2018-19, the CBSA transitioned to a new Departmental Results Framework reporting structure as required by the Treasury Board Policy on Results. Given that 2018-19 was a transition year, the Agency has been working toward further refining its reporting mechanisms by program to ensure proper alignment of authorities and expenditures in the future. On April 1, 2019, the Agency introduced a new organizational structure to better manage and report on its programs. With this new structure in place, the Agency expects improvement in its reporting by program, including more detailed variance explanations."
FY 2018-19,26,Canada Border Services Agency,Border Management,BUF06,Anti-Dumping and Countervailing,4758377,7592138.14,4758198,4758777,50,74,50,50,,"Explanation of spending variance: In fiscal year 2018-19, the CBSA transitioned to a new Departmental Results Framework reporting structure as required by the Treasury Board Policy on Results. Given that 2018-19 was a transition year, the Agency has been working toward further refining its reporting mechanisms by program to ensure proper alignment of authorities and expenditures in the future. On April 1, 2019, the Agency introduced a new organizational structure to better manage and report on its programs. With this new structure in place, the Agency expects improvement in its reporting by program, including more detailed variance explanations. 

Explanation of full-time equivalent (FTE) variance: In fiscal year 2018-19, the CBSA transitioned to a new Departmental Results Framework reporting structure as required by the Treasury Board Policy on Results. Given that 2018-19 was a transition year, the Agency is working toward further refining the FTE allocation methodology for its programs."
FY 2018-19,26,Canada Border Services Agency,Border Management,BUF07,Trusted Traveller,14633811,19560983.02,14618248,14620812,245,259,245,245,,"Explanation of spending variance: In fiscal year 2018-19, the CBSA transitioned to a new Departmental Results Framework reporting structure as required by the Treasury Board Policy on Results. Given that 2018-19 was a transition year, the Agency has been working toward further refining its reporting mechanisms by program to ensure proper alignment of authorities and expenditures in the future. On April 1, 2019, the Agency introduced a new organizational structure to better manage and report on its programs. With this new structure in place, the Agency expects improvement in its reporting by program, including more detailed variance explanations."
FY 2018-19,26,Canada Border Services Agency,Border Management,BUF08,Trusted Trader,14076703,13486313.73,14074304,14075264,120,96,120,120,,"Explanation of full-time equivalent (FTE) variance: In fiscal year 2018-19, the CBSA transitioned to a new Departmental Results Framework reporting structure as required by the Treasury Board Policy on Results. Given that 2018-19 was a transition year, the Agency is working toward further refining the FTE allocation methodology for its programs."
FY 2018-19,26,Canada Border Services Agency,Border Management,BUF09,Recourse,10779641,14856236.17,10643066,10645151,119,120,118,118,,"Explanation of spending variance: In fiscal year 2018-19, the CBSA transitioned to a new Departmental Results Framework reporting structure as required by the Treasury Board Policy on Results. Given that 2018-19 was a transition year, the Agency has been working toward further refining its reporting mechanisms by program to ensure proper alignment of authorities and expenditures in the future. On April 1, 2019, the Agency introduced a new organizational structure to better manage and report on its programs. With this new structure in place, the Agency expects improvement in its reporting by program, including more detailed variance explanations."
FY 2018-19,26,Canada Border Services Agency,Border Management,BUF10,Force Generation,42655450,62284639.91,42235277,42242238,308,376,306,306,,"Explanation of spending variance: In fiscal year 2018-19, the CBSA transitioned to a new Departmental Results Framework reporting structure as required by the Treasury Board Policy on Results. Given that 2018-19 was a transition year, the Agency has been working toward further refining its reporting mechanisms by program to ensure proper alignment of authorities and expenditures in the future. On April 1, 2019, the Agency introduced a new organizational structure to better manage and report on its programs. With this new structure in place, the Agency expects improvement in its reporting by program, including more detailed variance explanations. 

Explanation of full-time equivalent (FTE) variance: In fiscal year 2018-19, the CBSA transitioned to a new Departmental Results Framework reporting structure as required by the Treasury Board Policy on Results. Given that 2018-19 was a transition year, the Agency is working toward further refining the FTE allocation methodology for its programs."
FY 2018-19,26,Canada Border Services Agency,Border Management,BUF11,Buildings and Equipment,160618432,120347771.2,111479990,94420062,225,90,223,223,,"Explanation of spending variance: In fiscal year 2018-19, the CBSA transitioned to a new Departmental Results Framework reporting structure as required by the Treasury Board Policy on Results. Given that 2018-19 was a transition year, the Agency has been working toward further refining its reporting mechanisms by program to ensure proper alignment of authorities and expenditures in the future. On April 1, 2019, the Agency introduced a new organizational structure to better manage and report on its programs. With this new structure in place, the Agency expects improvement in its reporting by program, including more detailed variance explanations. 

Explanation of full-time equivalent (FTE) variance: In fiscal year 2018-19, the CBSA transitioned to a new Departmental Results Framework reporting structure as required by the Treasury Board Policy on Results. Given that 2018-19 was a transition year, the Agency is working toward further refining the FTE allocation methodology for its programs."
FY 2018-19,26,Canada Border Services Agency,Border Management,BUF12,Field Technology Support,44711553,28355591.21,47606570,36969627,121,122,121,121,,"Explanation of spending variance: In fiscal year 2018-19, the CBSA transitioned to a new Departmental Results Framework reporting structure as required by the Treasury Board Policy on Results. Given that 2018-19 was a transition year, the Agency has been working toward further refining its reporting mechanisms by program to ensure proper alignment of authorities and expenditures in the future. On April 1, 2019, the Agency introduced a new organizational structure to better manage and report on its programs. With this new structure in place, the Agency expects improvement in its reporting by program, including more detailed variance explanations."
FY 2018-19,26,Canada Border Services Agency,Border Enforcement,BUG01,Immigration Investigations,43150364,59953129.24,43275973,43513404,433,493,436,436,,"Explanation of spending variance: In fiscal year 2018-19, the CBSA transitioned to a new Departmental Results Framework reporting structure as required by the Treasury Board Policy on Results. Given that 2018-19 was a transition year, the Agency has been working toward further refining its reporting mechanisms by program to ensure proper alignment of authorities and expenditures in the future. On April 1, 2019, the Agency introduced a new organizational structure to better manage and report on its programs. With this new structure in place, the Agency expects improvement in its reporting by program, including more detailed variance explanations. 

Explanation of full-time equivalent (FTE) variance: In fiscal year 2018-19, the CBSA transitioned to a new Departmental Results Framework reporting structure as required by the Treasury Board Policy on Results. Given that 2018-19 was a transition year, the Agency is working toward further refining the FTE allocation methodology for its programs."
FY 2018-19,26,Canada Border Services Agency,Border Enforcement,BUG02,Detentions,50535504,65259045,48473019,49038338,133,128,128,130,,"Explanation of spending variance: In fiscal year 2018-19, the CBSA transitioned to a new Departmental Results Framework reporting structure as required by the Treasury Board Policy on Results. Given that 2018-19 was a transition year, the Agency has been working toward further refining its reporting mechanisms by program to ensure proper alignment of authorities and expenditures in the future. On April 1, 2019, the Agency introduced a new organizational structure to better manage and report on its programs. With this new structure in place, the Agency expects improvement in its reporting by program, including more detailed variance explanations."
FY 2018-19,26,Canada Border Services Agency,Border Enforcement,BUG03,Hearings,27238208,37340859.89,27072295,27069653,280,336,280,279,,"Explanation of spending variance: In fiscal year 2018-19, the CBSA transitioned to a new Departmental Results Framework reporting structure as required by the Treasury Board Policy on Results. Given that 2018-19 was a transition year, the Agency has been working toward further refining its reporting mechanisms by program to ensure proper alignment of authorities and expenditures in the future. On April 1, 2019, the Agency introduced a new organizational structure to better manage and report on its programs. With this new structure in place, the Agency expects improvement in its reporting by program, including more detailed variance explanations. 

Explanation of full-time equivalent (FTE) variance: In fiscal year 2018-19, the CBSA transitioned to a new Departmental Results Framework reporting structure as required by the Treasury Board Policy on Results. Given that 2018-19 was a transition year, the Agency is working toward further refining the FTE allocation methodology for its programs."
FY 2018-19,26,Canada Border Services Agency,Border Enforcement,BUG04,Removals,35026653,42297978.46,36049203,36679170,278,281,280,280,,"Explanation of spending variance: In fiscal year 2018-19, the CBSA transitioned to a new Departmental Results Framework reporting structure as required by the Treasury Board Policy on Results. Given that 2018-19 was a transition year, the Agency has been working toward further refining its reporting mechanisms by program to ensure proper alignment of authorities and expenditures in the future. On April 1, 2019, the Agency introduced a new organizational structure to better manage and report on its programs. With this new structure in place, the Agency expects improvement in its reporting by program, including more detailed variance explanations."
FY 2018-19,26,Canada Border Services Agency,Border Enforcement,BUG05,Criminal Investigations,39140805,41750123.53,38609479,38075522,381,303,385,384,,"Explanation of full-time equivalent (FTE) variance: In fiscal year 2018-19, the CBSA transitioned to a new Departmental Results Framework reporting structure as required by the Treasury Board Policy on Results. Given that 2018-19 was a transition year, the Agency is working toward further refining the FTE allocation methodology for its programs."
FY 2018-19,26,Canada Border Services Agency,Internal Services,ISS01,Management and Oversight Services - Canada Border Services Agency,65929662,69961121.47,66002999,65932819,614,563,616,615,,
FY 2018-19,26,Canada Border Services Agency,Internal Services,ISS02,Communications Services - Canada Border Services Agency,9810900,11539716.34,9524994,9501087,104,110,101,100,,"Explanation of spending variance: In fiscal year 2018-19, the CBSA transitioned to a new Departmental Results Framework reporting structure as required by the Treasury Board Policy on Results. Given that 2018-19 was a transition year, the Agency has been working toward further refining its reporting mechanisms by program to ensure proper alignment of authorities and expenditures in the future. On April 1, 2019, the Agency introduced a new organizational structure to better manage and report on its programs. With this new structure in place, the Agency expects improvement in its reporting by program, including more detailed variance explanations."
FY 2018-19,26,Canada Border Services Agency,Internal Services,ISS03,Legal Service - Canada Border Services Agency,23777758,18789183.47,23652508,23171312,19,9,19,19,,"Explanation of spending variance: In fiscal year 2018-19, the CBSA transitioned to a new Departmental Results Framework reporting structure as required by the Treasury Board Policy on Results. Given that 2018-19 was a transition year, the Agency has been working toward further refining its reporting mechanisms by program to ensure proper alignment of authorities and expenditures in the future. On April 1, 2019, the Agency introduced a new organizational structure to better manage and report on its programs. With this new structure in place, the Agency expects improvement in its reporting by program, including more detailed variance explanations. 

Explanation of full-time equivalent (FTE) variance: In fiscal year 2018-19, the CBSA transitioned to a new Departmental Results Framework reporting structure as required by the Treasury Board Policy on Results. Given that 2018-19 was a transition year, the Agency is working toward further refining the FTE allocation methodology for its programs."
FY 2018-19,26,Canada Border Services Agency,Internal Services,ISS04,Human Resources Management Services - Canada Border Services Agency,59087353,61895746.93,59078812,59040107,603,610,603,603,,
FY 2018-19,26,Canada Border Services Agency,Internal Services,ISS05,Financial Management Services - Canada Border Services Agency,23060732,26633200.88,23130283,23086524,234,236,234,234,,"Explanation of spending variance: In fiscal year 2018-19, the CBSA transitioned to a new Departmental Results Framework reporting structure as required by the Treasury Board Policy on Results. Given that 2018-19 was a transition year, the Agency has been working toward further refining its reporting mechanisms by program to ensure proper alignment of authorities and expenditures in the future. On April 1, 2019, the Agency introduced a new organizational structure to better manage and report on its programs. With this new structure in place, the Agency expects improvement in its reporting by program, including more detailed variance explanations."
FY 2018-19,26,Canada Border Services Agency,Internal Services,ISS06,Information Management Services - Canada Border Services Agency,9031549,6135970.96,9014016,9015305,68,56,68,68,,"Explanation of spending variance: In fiscal year 2018-19, the CBSA transitioned to a new Departmental Results Framework reporting structure as required by the Treasury Board Policy on Results. Given that 2018-19 was a transition year, the Agency has been working toward further refining its reporting mechanisms by program to ensure proper alignment of authorities and expenditures in the future. On April 1, 2019, the Agency introduced a new organizational structure to better manage and report on its programs. With this new structure in place, the Agency expects improvement in its reporting by program, including more detailed variance explanations. 

Explanation of full-time equivalent (FTE) variance: In fiscal year 2018-19, the CBSA transitioned to a new Departmental Results Framework reporting structure as required by the Treasury Board Policy on Results. Given that 2018-19 was a transition year, the Agency is working toward further refining the FTE allocation methodology for its programs."
FY 2018-19,26,Canada Border Services Agency,Internal Services,ISS07,Information Technology Management Services - Canada Border Services Agency,112523741,125664491.7,111954699,111136750,418,439,419,419,,"Explanation of spending variance: In fiscal year 2018-19, the CBSA transitioned to a new Departmental Results Framework reporting structure as required by the Treasury Board Policy on Results. Given that 2018-19 was a transition year, the Agency has been working toward further refining its reporting mechanisms by program to ensure proper alignment of authorities and expenditures in the future. On April 1, 2019, the Agency introduced a new organizational structure to better manage and report on its programs. With this new structure in place, the Agency expects improvement in its reporting by program, including more detailed variance explanations."
FY 2018-19,26,Canada Border Services Agency,Internal Services,ISS08,Real Property Management Services - Canada Border Services Agency,21903909,18758881.3,21976737,16485304,60,184,59,59,,"Explanation of spending variance: In fiscal year 2018-19, the CBSA transitioned to a new Departmental Results Framework reporting structure as required by the Treasury Board Policy on Results. Given that 2018-19 was a transition year, the Agency has been working toward further refining its reporting mechanisms by program to ensure proper alignment of authorities and expenditures in the future. On April 1, 2019, the Agency introduced a new organizational structure to better manage and report on its programs. With this new structure in place, the Agency expects improvement in its reporting by program, including more detailed variance explanations. 

Explanation of full-time equivalent (FTE) variance: In fiscal year 2018-19, the CBSA transitioned to a new Departmental Results Framework reporting structure as required by the Treasury Board Policy on Results. Given that 2018-19 was a transition year, the Agency is working toward further refining the FTE allocation methodology for its programs."
FY 2018-19,26,Canada Border Services Agency,Internal Services,ISS09,Materiel Management Services - Canada Border Services Agency,5397803,11011155.97,4710779,3546527,33,28,31,30,,"Explanation of spending variance: In fiscal year 2018-19, the CBSA transitioned to a new Departmental Results Framework reporting structure as required by the Treasury Board Policy on Results. Given that 2018-19 was a transition year, the Agency has been working toward further refining its reporting mechanisms by program to ensure proper alignment of authorities and expenditures in the future. On April 1, 2019, the Agency introduced a new organizational structure to better manage and report on its programs. With this new structure in place, the Agency expects improvement in its reporting by program, including more detailed variance explanations. 

Explanation of full-time equivalent (FTE) variance: In fiscal year 2018-19, the CBSA transitioned to a new Departmental Results Framework reporting structure as required by the Treasury Board Policy on Results. Given that 2018-19 was a transition year, the Agency is working toward further refining the FTE allocation methodology for its programs."
FY 2018-19,26,Canada Border Services Agency,Internal Services,ISS0Z,Acquisition Management Services - Canada Border Services Agency,5493589,5349561.18,5463803,5464364,48,52,48,48,,
FY 2018-19,46,Canada Revenue Agency,Tax,BRA01,Tax Services and Processing,668253447,753593999.2,659102540,649819863,6608,7706,6467,6307,,"The increase in spending and FTEs in 2018-19 was primarily due to new funding received to address operational pressures related to the Government pay system as well as implement service measures announced as part of Budget 2018 and the carbon fuel charge. Additional increases attributable to higher call acceptance on the Individual Tax Enquiries line and the internal reallocation of funding during the year, namely for major project investments, to meet T1 workload service standards, and to address other operational priorities."
FY 2018-19,46,Canada Revenue Agency,Tax,BRA02,Returns compliance,300696796,329231754.1,297652584,296446680,4972,5262,4976,4939,,
FY 2018-19,46,Canada Revenue Agency,Tax,BRA03,Collections,371810596,381589788.8,395708303,377674011,5385,5437,5645,5397,,
FY 2018-19,46,Canada Revenue Agency,Tax,BRA04,Domestic compliance,710344784,744281990.3,714555595,716738990,7002,6963,7008,7006,,
